id,date,workday,temperature,demand
1,2014-01-01,0,26.0,174.896295326
2,2014-01-02,1,23.0,188.590934892
3,2014-01-03,1,22.2,188.91689062
4,2014-01-04,0,20.3,173.814244214
5,2014-01-05,0,26.1,169.515174872
6,2014-01-06,1,19.6,195.728794834
7,2014-01-07,1,20.0,199.902887696
8,2014-01-08,1,27.4,205.337529316
9,2014-01-09,1,32.4,228.07820422
10,2014-01-10,1,34.0,258.598386836
11,2014-01-11,0,22.4,201.797008908
12,2014-01-12,0,22.5,187.629785594
13,2014-01-13,1,30.0,254.663606842
14,2014-01-14,1,42.4,322.232255032
15,2014-01-15,1,41.5,343.993353528
16,2014-01-16,1,43.2,347.637557646
17,2014-01-17,1,43.1,332.945502716
18,2014-01-18,0,23.7,219.751693702
19,2014-01-19,0,22.3,186.981555158
20,2014-01-20,1,24.0,228.487553532
21,2014-01-21,1,23.1,222.36502675
22,2014-01-22,1,23.3,220.466929546
23,2014-01-23,1,29.6,240.580637894
24,2014-01-24,1,22.1,224.665187786
25,2014-01-25,0,20.3,181.149785498
26,2014-01-26,0,27.0,182.223086342
27,2014-01-27,0,34.5,230.222630786
28,2014-01-28,1,41.4,309.374424338
29,2014-01-29,1,24.5,243.223913258
30,2014-01-30,1,29.2,258.389551002
31,2014-01-31,1,26.8,259.305270078
32,2014-02-01,0,29.2,241.31848797
33,2014-02-02,0,38.6,264.505049836
34,2014-02-03,1,33.9,264.955610774
35,2014-02-04,1,25.7,221.680710242
36,2014-02-05,1,30.5,237.149770986
37,2014-02-06,1,35.1,276.413439262
38,2014-02-07,1,35.6,283.315457006
39,2014-02-08,0,40.0,272.508421892
40,2014-02-09,0,39.5,243.629811052
41,2014-02-10,1,24.7,223.084473768
42,2014-02-11,1,26.2,238.787088348
43,2014-02-12,1,26.9,252.236563172
44,2014-02-13,1,26.6,250.903040492
45,2014-02-14,1,26.6,242.455765938
46,2014-02-15,0,28.7,214.2725871
47,2014-02-16,0,23.0,175.293506572
48,2014-02-17,1,25.3,216.41037534
49,2014-02-18,1,30.2,232.637631876
50,2014-02-19,1,25.4,222.362212674
51,2014-02-20,1,20.3,210.203074572
52,2014-02-21,1,20.4,211.63697823
53,2014-02-22,0,19.6,186.799502978
54,2014-02-23,0,22.9,178.232233994
55,2014-02-24,1,24.3,221.685421236
56,2014-02-25,1,32.7,237.559519164
57,2014-02-26,1,21.8,220.509299024
58,2014-02-27,1,21.5,216.788000444
59,2014-02-28,1,23.5,214.887519558
60,2014-03-01,0,23.1,193.53879341
61,2014-03-02,0,22.3,183.354964932
62,2014-03-03,1,25.0,228.382493082
63,2014-03-04,1,33.3,255.374052196
64,2014-03-05,1,25.6,233.962163338
65,2014-03-06,1,20.8,216.470282328
66,2014-03-07,1,22.5,215.960731656
67,2014-03-08,0,27.8,194.569924848
68,2014-03-09,0,32.7,200.780368924
69,2014-03-10,0,32.1,213.91601553
70,2014-03-11,1,31.1,240.581826218
71,2014-03-12,1,21.8,220.376579918
72,2014-03-13,1,22.7,219.122627882
73,2014-03-14,1,26.2,223.930963028
74,2014-03-15,0,29.1,191.977954408
75,2014-03-16,0,20.3,172.960154572
76,2014-03-17,1,24.7,212.669337542
77,2014-03-18,1,24.1,216.799245608
78,2014-03-19,1,22.2,215.956212578
79,2014-03-20,1,30.7,226.828705024
80,2014-03-21,1,22.9,221.975617464
81,2014-03-22,0,19.4,186.249094462
82,2014-03-23,0,18.7,179.274619262
83,2014-03-24,1,18.8,213.566742194
84,2014-03-25,1,24.4,214.613345464
85,2014-03-26,1,26.9,217.41287881
86,2014-03-27,1,25.3,221.790532056
87,2014-03-28,1,21.5,214.881351502
88,2014-03-29,0,23.6,185.212055566
89,2014-03-30,0,25.9,181.795096428
90,2014-03-31,1,30.1,230.663662492
91,2014-04-01,1,32.9,253.290102574
92,2014-04-02,1,26.0,235.528924916
93,2014-04-03,1,18.2,222.700405572
94,2014-04-04,1,19.7,218.932024318
95,2014-04-05,0,24.1,192.15175974
96,2014-04-06,0,24.3,182.59510412
97,2014-04-07,1,24.5,218.474476344
98,2014-04-08,1,22.0,226.201756238
99,2014-04-09,1,17.8,225.599344182
100,2014-04-10,1,18.9,223.880770978
101,2014-04-11,1,18.9,220.39874308
102,2014-04-12,0,22.4,189.730219148
103,2014-04-13,0,21.5,180.797405356
104,2014-04-14,1,20.7,212.901439274
105,2014-04-15,1,21.1,216.103419866
106,2014-04-16,1,21.6,218.360304206
107,2014-04-17,1,24.3,215.11368572
108,2014-04-18,0,18.8,177.747405774
109,2014-04-19,0,17.3,183.793998112
110,2014-04-20,0,18.3,178.949754048
111,2014-04-21,0,18.1,181.331985508
112,2014-04-22,1,17.6,219.845587538
113,2014-04-23,1,19.2,218.903697038
114,2014-04-24,1,18.3,217.970766998
115,2014-04-25,0,20.5,189.681557562
116,2014-04-26,0,19.2,189.352187122
117,2014-04-27,0,17.2,186.17611612
118,2014-04-28,1,21.3,222.725282768
119,2014-04-29,1,22.3,226.893987516
120,2014-04-30,1,17.6,227.838250562
121,2014-05-01,1,15.6,234.15135243
122,2014-05-02,1,13.9,234.875479598
123,2014-05-03,0,17.0,205.593756248
124,2014-05-04,0,13.7,203.667041488
125,2014-05-05,1,16.4,237.88574823
126,2014-05-06,1,16.0,240.61531435
127,2014-05-07,1,16.2,240.363389046
128,2014-05-08,1,18.4,241.350194426
129,2014-05-09,1,18.3,236.749702332
130,2014-05-10,0,16.3,206.34550193
131,2014-05-11,0,19.7,192.715953152
132,2014-05-12,1,19.9,229.354390942
133,2014-05-13,1,20.1,230.016404656
134,2014-05-14,1,20.2,224.46371096
135,2014-05-15,1,22.4,216.959205084
136,2014-05-16,1,22.8,212.630536434
137,2014-05-17,0,20.0,188.999065818
138,2014-05-18,0,21.4,181.507468084
139,2014-05-19,1,22.8,217.062319264
140,2014-05-20,1,21.6,224.377063876
141,2014-05-21,1,23.1,221.94096546
142,2014-05-22,1,20.9,222.489926686
143,2014-05-23,1,20.3,221.565872944
144,2014-05-24,0,17.1,195.66685867
145,2014-05-25,0,20.2,190.31111951
146,2014-05-26,1,20.8,226.050989726
147,2014-05-27,1,21.7,226.917460584
148,2014-05-28,1,18.0,230.292681426
149,2014-05-29,1,15.8,234.660413654
150,2014-05-30,1,17.7,231.84855445
151,2014-05-31,0,18.4,201.038256576
